permit_number,permit_type_descr,permit_subtype_descr,date_entered,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category
T2019003495,Building Residential - New,Single Family Residence,2019-01-18,,620  MADISON ST,NASHVILLE,TN,37208,PARAGON GROUP LLC,3595904,"to construct 2617Sf single family residence with 486Sf garage. Master permit 2017048744. Not to be over any easements. 
MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING
Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.",36.1741,-86.790502,Residential
T2019003493,Building Residential - New,Single Family Residence,2019-01-18,,618  MADISON ST,NASHVILLE,TN,37208,PARAGON GROUP LLC,3595898,"to construct 2668Sf single family residence with 498Sf garage. Master permit 2017048744. Not to be over any easements. 
MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING
Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.",36.174103,-86.790489,Residential
T2019003092,Building Residential - New,Single Family Residence,2019-01-16,,225  CENTER ST,OLD HICKORY,TN,37138,Stewart Knowles Construction,3595369,New Build  REJECTED APPLICANT MUST RESUBMIT APPLICATION WITH SURVEY SITE PLAN SHOWING COMPLIANCE WITH METRO COUNCIL BILL 2014-725.,36.225681,-86.629858,Residential
T2019003088,Building Residential - New,Single Family Residence,2019-01-16,,227  CENTER ST,OLD HICKORY,TN,37138,Stewart Knowles Construction,3595318,New build.  REJECTED APPLICANT MUST RESUBMIT APPLICATION SHOWING SURVEY SITE PLAN IN COMPLIANCE WITH METRO COUNCIL BILL 2014-725.,36.225741,-86.63008,Residential
T2019003113,Building Residential - New,Single Family Residence,2019-01-16,,223  CENTER ST,OLD HICKORY,TN,37138,Stewart Knowles Construction,3595391,New Build REJECTED APPLICANT MUST RESUBMIT APPLICANT SHOWING A SURVEY SITE SHOWING COMPLIANCE WITH METRO COUNCIL BILL 2014-725,36.225719,-86.630031,Residential
T2019002483,Building Residential - New,Single Family Residence,2019-01-14,,1622  MARSDEN AVE,NASHVILLE,TN,37216,"MCDONALD, ROBERT BRANDON GENERAL CONTRACTOR",3594489,"to construct 1420SF single family residence with 190SF porches. 5' min. side setback, 20' min. rear setback, unit 1 of 2. lot coverage is 1113F of max 3750SF lot coverage. not to be over any easements. Max height 3 stories or 26.3�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.201273,-86.723958,Residential
T2019002163,Building Residential - New,"Accessory Structure, Garage",2019-01-11,,2844  GREER RD,GOODLETTSVILLE,TN,37072,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3593995,parcel is zoned AR2A and contains 29.34 acres.  this permit to construct a 40 x 60 detached storage building to the front of residence.  not to be used for living or commercial purposes.  max allowed height is 24'.  40' min front s/b; 20' min side and rear s/b.,36.352359,-86.78164,Residential
T2019001877,Building Residential - New,Single Family Residence,2019-01-10,,1510  RIVERSIDE DR  3,NASHVILLE,TN,37206,"JACKSON BUILDERS,LLC",3593535,"TO CONSTRUCT A NEW SINGLE FAMILY RES AT 2110 SQFT WITH AN ATTACHED GARAGE AT 340 SQFT WITH PORCHES AND DECKS....THIS IS ONE OF TWO SINGLE FAMILY HOUSES ON THIS PROPERTY...SPLIT FROM 72-15-266..REAR MIN 20'...MIN 6' BETWEEN HOUSES...SIDES MIN 5'...FRONT MIN 20'....UTILITY LINES WATER/SEWER/NES FROM MAIN LINE AT THE STREET BACK TO THE PROPERTIES THUR THE EASEMENT....SEE PLAN..2017-1130-0122165.AND 2018-1003-0097962....ALSO THIS IS THE ACCESS EASEMENT.....WIDTH OF HOUSE AT 28'...HT AT TWO STORIES AND 28'..For every 30 feet of LOT frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property� 
Pursuant Ordinance # 2006-1263  Metropolitan code of Laws, I (the holder on this permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of  Metropolitan Code�. ****SITE PLAN SENT TO FILE.
SIDEWALKS NOT REQUIRED...NO ROAD FRONTAGE.",36.193437,-86.723722,Residential
T2019001860,Building Residential - New,Single Family Residence,2019-01-10,,1510  RIVERSIDE DR  5,NASHVILLE,TN,37206,"JACKSON BUILDERS,LLC",3593510,"TO CONSTRUCT A NEW SINGLE FAMILY RES AT 2110 SQFT WITH AN ATTACHED GARAGE AT 340 SQFT WITH PORCHES AND DECKS....THIS IS ONE OF TWO SINGLE FAMILY HOUSES ON THIS PROPERTY...SPLIT FROM 72-15-273..REAR MIN 20'...MIN 6' BETWEEN HOUSES...SIDES MIN 5'...FRONT MIN 20'....UTILITY LINES WATER/SEWER/NES FROM MAIN LINE AT THE STREET BACK TO THE PROPERTIES THUR THE EASEMENT....SEE PLAN..2017-1130-0122165.AND 2018-1003-0097962....ALSO THIS IS THE ACCESS EASEMENT.....WIDTH OF HOUSE AT 28'...

This property has been rezoned contextual.
Which means you are limited in sqft and ht.  150% of the two houses on each side.

1312, 1042, 1366, and 1154 sqft of the 4 houses. (2 on each side)
Based on the two houses to each side:  adds up to 4874 sqft x 150% = 731/4= 1827 sqft for your property. BUT one house existing at 1318 sqft�so your new house has a sqft limitation at 1827 � 1318 = 509 sqft footprint�and a max ht at 1.5 stories and 27�. 

SIDEWALKS REQUIRED AND NOT ALLOWED TO CONTRIBUTE.",36.193437,-86.723722,Residential
T2019001870,Building Residential - New,Single Family Residence,2019-01-10,,1510  RIVERSIDE DR  4,NASHVILLE,TN,37206,"JACKSON BUILDERS,LLC",3593525,"TO CONSTRUCT A NEW SINGLE FAMILY RES AT 2110 SQFT WITH AN ATTACHED GARAGE AT 340 SQFT WITH PORCHES AND DECKS....THIS IS ONE OF TWO SINGLE FAMILY HOUSES ON THIS PROPERTY...SPLIT FROM 72-15-266..REAR MIN 20'...MIN 6' BETWEEN HOUSES...SIDES MIN 5'...FRONT MIN 20'....UTILITY LINES WATER/SEWER/NES FROM MAIN LINE AT THE STREET BACK TO THE PROPERTIES THUR THE EASEMENT....SEE PLAN..2017-1130-0122165.AND 2018-1003-0097962....ALSO THIS IS THE ACCESS EASEMENT.....WIDTH OF HOUSE AT 28'...HT AT TWO STORIES AND 28'..For every 30 feet of LOT frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property� 
Pursuant Ordinance # 2006-1263  Metropolitan code of Laws, I (the holder on this permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of  Metropolitan Code�. ****SITE PLAN SENT TO FILE.
SIDEWALKS NOT REQUIRED...NO ROAD FRONTAGE.",36.193437,-86.723722,Residential
T2019001581,Building Residential - New,Single Family Residence,2019-01-09,,3839  KNIGHT DR,WHITES CREEK,TN,37189,APEX BUILDERS LLC,3593147,"to construct a single family residence on existing foundation.  60' min front s/b; 10' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 30' site frontage, a 24  x 36  d/f must be posted in English and Spanish that contains information in regards to metro council bill 2017-835.",36.260804,-86.814334,Residential
T2019000626,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2019-01-04,4000.0,1040  PETWAY AVE,NASHVILLE,TN,37206,"HAMRAIE, MOZHDEH A.",3591781,"***********DO NOT ISSUE PERMIT UNTIL HISTORIC PERMIT OBTAINED**********************




PERMIT TO CONSTRUCT 14�X14� SHED TO REAR OF EXISTING SINGLE FAMILY RESIDENCE� �SEE PLAN FOR LOCATION � �3� MINIMUM SIDE SETBACK� �3� MINIMUM REAR SETBACK� �NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES... �

(HOLDER OF PERMIT) ACKNOWLEDGES  APPLYING FOR THIS SELF-BUILDING PERMIT IN OWN NAME, & WILL ACT AS OWN CONTRACTOR ACCEPTING FULL RESPONSIBILITY FOR CODE COMPLIANCE, FOR HIRING & EMPLOYING INDIVIDUALS & HAS ULTIMATE RESPONSIBILITY FOR MY OWN WORK & FOR THE WORK OF OTHERS.  ACTING AS MY OWN GENERAL CONTRACTOR, I FURTHER UNDERSTAND THAT I MAY FORFEIT CERTAIN PROTECTIONS, WHICH MIGHT BE AVAILABLE TO ME THROUGH THE STATE OF TENN. GENERAL CONTRACTOR�S LICENSING PROCESS.  I FURTHER ACKNOWLEDGE THAT AS A SELF-BUILDING PERMIT HOLDER I AM RESPONSIBLE FOR REQUESTING ALL REQUIRED INSPECTIONS & COMPLETING ALL AUTHORIZED WORK IN COMPLIANCE WITH APPLICABLE ADOPTED CODES.  I FURTHER UNDERSTAND THAT SEPARATE PERMITS ARE REQUIRED FOR ANY PROPOSED ELECTRICAL, PLUMBING, & GAS/MECHANICAL WORK AND IS NOT PART OF THIS BUILDING PERMIT�.

PURSUANT # 2006-1263 METRO CODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE...",36.186796,-86.748653,Residential
T2018080220,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2018-12-28,,523  ROSEDALE AVE,NASHVILLE,TN,37211,Tuff Shed,3590515,Shed.  REJECTED: APPLICANT NEEDS TO APPLY WITH CITY OF BERRY HILL FOR THIS PERMIT.,36.124032,-86.759774,Residential
T2018079427,Building Residential - New,Single Family Residence,2018-12-21,,5557B  KNOB RD,NASHVILLE,TN,37209,"LITTLE III, HOUSTON G",3589301,build single family home.  REJECTED: APPLICANT HAS NOT SUBMITTED PLANS FOR PROPOSED HPR IN ACCORDANCE WITH METRO COUNCIL BILLS 2014-725 AND 2014-770.  APPLICANT IS REQUIRED TO RESUBMIT APPLICATION TO OFFICE IN PERSON IN COMPLIANCE WITH REGULATIONS.  THIS APPLICATION WILL BE CANCELLED.,36.137703,-86.855824,Residential
T2018079426,Building Residential - New,Single Family Residence,2018-12-21,,5557  KNOB RD,NASHVILLE,TN,37209,"LITTLE III, HOUSTON G",3589300,build new home.  REJECTED:  APPLICANT HAS NOT SUBMITTED PLANS FOR PROPOSED HPR IN COMPLIANCE WITH METRO COUNCIL BILLS 2014-725 AND 2014-770.  APPLICANT IS REQUIRED TO SUBMIT PLANS TO OFFICE IN PERSON IN COMPLIANCE WITH REQUIRMENTS.  THIS APPLICATION WILL BE CANCELLED.,36.137703,-86.855824,Residential
T2018078800,Building Residential - New,"Accessory Structure, Garage",2018-12-18,,1015  SEYMOUR AVE,NASHVILLE,TN,37206,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3588328,to construct a 17 x 37 detached garage/storage building to rear of residence.  not to be used for living or commercial purposes.  MHZC must review application.,36.185989,-86.751128,Residential
T2018078351,Building Residential - New,Single Family Residence,2018-12-17,,1305  CASS ST,NASHVILLE,TN,37208,"URBAN DEVELOPMENT GROUP, LLC",3587759,"TO CONSTRUCT A NEW SINGLE FAMILY RES AT 1516 SQFT WITH PORCHES AND DECKS....THIS IS ONE OF TWO SINGLE FAMILY HOUSES ON THIS PROPERTY......NEED TO COMPLY WITH SP APPROVED PLAN....For every 30 feet of LOT frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property� 
Pursuant Ordinance # 2006-1263  Metropolitan code of Laws, I (the holder on this permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of  Metropolitan Code�. ****SITE PLAN SENT TO FILE�
***SIDEWALKS REQUIRED BUT ALLOWED TO CONTRIBUTE....***",36.18547,-86.808505,Residential
T2018078367,Building Residential - New,Single Family Residence,2018-12-17,,1009  WOODMONT BLVD,NASHVILLE,TN,37204,Ridgemont Homes,3587801,1009 B Woodmont Blvd.  REJECTED: PROPERTY HAS NOT BEEN MAPPED FOR AN HPR.  APPLICANT WILL BE REQUIRED TO CONTACT PROPERTY MAPPING AND HAVE PROPERTY MAPPED FOR HPR USE AND RESUBMIT APPLICATION TO OFFICE IN PERSON.  THIS APPLICATION WILL BE DELETED.,36.111194,-86.789293,Residential
T2018078356,Building Residential - New,Single Family Residence,2018-12-17,,2021  12TH AVE N,NASHVILLE,TN,37208,"URBAN DEVELOPMENT GROUP, LLC",3587769,"TO CONSTRUCT A NEW SINGLE FAMILY RES AT 1516 SQFT WITH PORCHES AND DECKS....THIS IS ONE OF TWO SINGLE FAMILY HOUSES ON THIS PROPERTY......NEED TO COMPLY WITH SP APPROVED PLAN....For every 30 feet of LOT frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property� 
Pursuant Ordinance # 2006-1263  Metropolitan code of Laws, I (the holder on this permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of  Metropolitan Code�. ****SITE PLAN SENT TO FILE�
***SIDEWALKS REQUIRED BUT ALLOWED TO CONTRIBUTE....***",36.184898,-86.807967,Residential
T2018078366,Building Residential - New,Single Family Residence,2018-12-17,,1009  WOODMONT BLVD,NASHVILLE,TN,37204,Ridgemont Homes,3587783,"1009 A Woodmont Blvd.   REJECTED:  APPLICANT HAS NOT HAD PARCEL MAPPED AS HPR.  APPLICANT WILL BE REQUIRED TO MAP THE PARCEL FOR HPR USE AND RESUBMIT APPLICANTION IN PERSON TO THIS OFFICE.  THIS APPLICANTION WILL BE DELETED.   
1009 B Woodmont Blvd.",36.111194,-86.789293,Residential
T2018078034,Building Residential - New,Single Family Residence,2018-12-14,,1810  BRANCH ST,NASHVILLE,TN,37216,SOUTHERN BUILD LLC,3587290,"TO CONSTRUCT A NEW SINGLE FAMILY RES AT 1825 SQFT WITH ATTACHED GARAGE AT 479 SQFT WITH PORCHES AND DECKS...GARAGE DOOR TO FACE BRANCH...THIS IS ONE OF TWO SINGLE FAMILY HOUSES...FRONT AND REAR...MIN 6' BETWEEN HOUSES...SIDE STREET STBK...LITTON AV...SETBACK MIN 10'....SIDE MIN 5'...REAR MIN 20'..FRONT STREET BRANCH STBK AT 31'...WIDTH OF HOUSE AT 40'...MAX HT AT 3 STORIES AND 45'....NEED TO COMPLY WITH  BL2014-770 WHICH READS: the height of two detached dwelling units on a single lot cannot exceed a ratio of 1.0 horizontal to 1.5 vertical for each structure. Maximum height shall be measured from the natural grade. The natural grade shall be determined based on the average elevation of most exterior corners of the front facade, to the VERY TOP OF THE STRUCTURE.. Natural grade is the base ground elevation prior to grading. AND  DEFINITION OF .Story  means a portion of a building between the surface of any floor and the surface of the floor above it, or, if there is no floor above it, the space between 
such floor and the ceiling above it. A basement or cellar shall not be deemed a story if the finished floor level directly above is not more than six feet above 
the average elevation of the adjacent finished grade.
For every 30 feet of LOT frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property� Pursuant Ordinance # 2006-1263  Metropolitan code of Laws, I (the holder on this permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of  Metropolitan Code�. ****SITE PLAN SENT TO FILE�
***SIDEWALKS NOT REQUIRED***SPLIT FROM 72-11-331",36.200152,-86.725143,Residential
T2018077261,Building Residential - New,Single Family Residence,2018-12-11,,5557  KNOB RD,NASHVILLE,TN,37209,"LITTLE III, HOUSTON G",3586176,Build single family home.  REJECTED:  HPR APPLICATIONS CANNOT BE PROCESSED ON LINE.  PLEASE BRING TO OFFICE THE FOLLOWING INFORMATION:  A CONTEXTUAL SURVEY SITE PLAN IN COMPLIANCE WITH METRO COUNCIL BILL 2014-725 AND A STAMPED ELEVATION DRAWING IN COMPLIANCE WITH METRO COUNCIL BILL 2014-770.,36.137703,-86.855824,Residential
T2018077262,Building Residential - New,Single Family Residence,2018-12-11,,5557B  KNOB RD,NASHVILLE,TN,37209,"LITTLE III, HOUSTON G",3586178,Build single family home REJECTED: HPR APPLICATIONS CANNOT BE PROCESSED ON LINE.  PLEASE BRING TO OFFICE A CONTEXTUAL SURVEY SITE PLAN IN COMPLIANCE WITH METRO COUNCIL BILL 2014-725 AND A STAMPED SURVEY SITE PLAN IN COMPLIANCE WITH METRO COUNCIL BILL 2014-770.,36.137703,-86.855824,Residential
T2018076822,Building Residential - New,Single Family Residence,2018-12-10,,1748  24TH AVE N,NASHVILLE,TN,37208,PARAGON GROUP LLC,3585457,"to construct 1435SF single family residence with 210SF porches. 5' min. side setback, 20' min. rear setback, front setback at 20' per table(avg. under 20'). not to be over any easements.
Sidewalks are required, not eligible for fund
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*",36.179576,-86.81577,Residential
T2018076087,Building Residential - New,Single Family Residence,2018-12-05,,1532  HARWOOD DR,NASHVILLE,TN,37206,GREEN HILLS CONSTRUCTION LLC (FORMERLY GREEN HILLS FLOORING,3584435,"Construct a single family, one story home with 1680 sq ft. to include 3 bedrooms, 2 bathrooms and no garage.  corner lot.  15' min side street s/b; 20' min rear s/b.  5' min interior side s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  max allowed height is 45' three floors max.  min required distance between structures is 6' min with no bump outs.  must comply fully with metro council bills 2014-725 and 2014-770.",36.193533,-86.718708,Residential
T2018075383,Building Residential - New,Single Family Residence,2018-12-03,,7020  OAK BROOK TER,BRENTWOOD,TN,37027,SHAW CONSTRUCTION,3583419,"RES PUD, Planning to review/approve prior to permit issuance. Sidewalk requirements to be determined by planning.
CRITICAL LOT, MUST COMPLY WITH ALL CRITICAL LOT STANDARDS OF APPENDIX C OF THE SUBDIVISION REGULATIONS....TO CONSTRUCT A NEW SINGLE FAMILY RESIDENCE AT 2800 SQ FT, GARAGE AT 400 SF and 226 SQ FT OF PORCHES AND DECKS  .. . MINIMUM 5' SIDE SETBACKS, MINIMUM 20' REAR SETBACK, 20' MINIMUM FRONT SETBACK PER PLAT.... MUST COMPLY WITH ALL EASEMENTS. . PURSUANT # 2006-1263 METRO CODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.",36.006359,-86.692359,Residential
T2018075387,Building Residential - New,Single Family Residence,2018-12-03,,7024  OAK BROOK TER,BRENTWOOD,TN,37027,SHAW CONSTRUCTION,3583425,"RES PUD, Planning to review/approve prior to permit issuance. Sidewalk requirements to be determined by planning.
CRITICAL LOT, MUST COMPLY WITH ALL CRITICAL LOT STANDARDS OF APPENDIX C OF THE SUBDIVISION REGULATIONS....TO CONSTRUCT A NEW SINGLE FAMILY RESIDENCE AT 2800 SQ FT, GARAGE AT 400 SF and 226 SQ FT OF PORCHES AND DECKS  .. . MINIMUM 5' SIDE SETBACKS, MINIMUM 20' REAR SETBACK, 20' MINIMUM FRONT SETBACK PER PLAT.... MUST COMPLY WITH ALL EASEMENTS. . PURSUANT # 2006-1263 METRO CODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY.",36.006443,-86.692486,Residential
T2018074725,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",2018-11-29,,4824  LEESA ANN LN,HERMITAGE,TN,37076,william st laurent,3582493,"to construct 240SF detached shed to the rear of existing single family residence. 3' min. side setback, 3' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to ridge line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*",36.204878,-86.58787,Residential
T2018074894,Building Commercial - New,"Self Service Storage, Storage Mod Hazard",2018-11-29,,4119  MURFREESBORO PIKE,ANTIOCH,TN,37013,"CONSECO GROUP INC, THE",3582717,to construct a three floor self storage building on property for Freedom Storage.  Gary Martin 615-812-2147.  UDO,36.032211,-86.594799,Commercial
T2018074869,Building Residential - New,"Accessory Structure, Garage",2018-11-29,,119 W TYNE DR,NASHVILLE,TN,37205,SITEWORKS LLC,3582675,to construct a 16 x 36 detached accessory pool house to rear of residence.  not to be used for living or commercial purposes.  max allowed height is 16'.  10' min side s/b; 20' min rear s/b.,36.096001,-86.870518,Residential
T2018073242,Building Residential - New,Single Family Residence,2018-11-20,10000.0,1113B  LISCHEY AVE,NASHVILLE,TN,37207,COLE INVESTMENTS LLC,3580338,THIS PERMIT IS TO CONSTRUCT A 21�X23� DETACHED CARPORT TO THE REAR OF UNIT B OF A PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX� �3� MINIMUM SIDE SETBACK�10� MINIMUM REAR SETBACK� �,36.191697,-86.763589,Residential
T2018073279,Building Residential - New,Single Family Residence,2018-11-20,,2019A  12TH AVE N,NASHVILLE,TN,37208,"URBAN DEVELOPMENT GROUP, LLC",3580400,parent parcel is map 81-7 parcel 639 and is in a pre 1984 recorded subdivision.  this permit to construct unit A of proposed horizontal property line regime duplex with 1675 sf living area and 100 sf porch areas.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  must comply fully with metro council bills 2014-725 and 2014-770.,36.185348,-86.808141,Residential
T2018073284,Building Residential - New,Single Family Residence,2018-11-20,,2019B  12TH AVE N,NASHVILLE,TN,37208,"URBAN DEVELOPMENT GROUP, LLC",3580407,parent parcel is map 81-7 parcel 639 and is in a pre 1984 recorded subdivision.  this permit to construct unit B of proposed horizontal property line regime duplex with 1675 sf living area and 100 sf porch areas.  units detached.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  must comply fully with metro council bills 2014-725 and 2014-770.,36.185348,-86.808141,Residential
T2018072110,Building Residential - New,Single Family Residence,2018-11-14,,3518  HILLSDALE AVE,NASHVILLE,TN,37205,IQ DEVELOPMENT & CONSTRUCTION LLC,3578862,"to construct 2836SF single family residence with 622SF garage and 382Sf porches. 5' min. left side setback, 10' min. right side setback(garage doors 20'), 20' min. rear setback, front setback at 30.7' per avg. unit 1 of 2. lot coverage is 1243SF of max 4287SF lot coverage. not to be over any easements. Max height 3 stories or 45�.
Sidewalks are required, applicant may pay in lieu of sidewalk requirements
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*",36.141665,-86.825355,Residential
T2018072115,Building Residential - New,Single Family Residence,2018-11-14,,507  ACKLEN PARK DR,NASHVILLE,TN,37205,IQ DEVELOPMENT & CONSTRUCTION LLC,3578869,"to construct 2872SF single family residence with 740SF garage and 382Sf porches. 5' min. left side setback, 10' min. right side setback(garage doors 20'), 20' min. rear setback, front setback at 30.7' per avg. unit 1 of 2. lot coverage is 1397SF of max 4287SF lot coverage. not to be over any easements. Max height 3 stories or 45�.
Sidewalks are required, applicant may pay in lieu of sidewalk requirements
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
*******Sidewalks are required, applicant may pay in lieu of sidewalk requirements 17.12.120******",36.142015,-86.825831,Residential
T2018070756,Building Residential - New,Single Family Residence,2018-11-08,,205  WARREN CT,OLD HICKORY,TN,37138,PRATER CONSTRUCTION LLC,3576988,"to construct 2000SF single family residence with 576Sf garage and 380SF porches. 5' min. side setback, 20' min. rear setback, front setback at ' per avg. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*",36.280721,-86.67582,Residential
